airports,start,end,kind
6,22-03-14 18:30,22-03-14 21:30,1
4,22-03-15 18:30,22-03-15 21:00,1
3,22-03-16 18:30,22-03-16 21:30,1
5,22-03-21 18:00,22-03-21 21:00,1
6,22-03-21 18:30,22-03-21 21:30,1
3,22-03-23 18:30,22-03-23 21:30,1
1,22-03-23 18:30,22-03-23 21:30,1
5,22-03-28 17:00,22-03-28 20:00,1
4,22-03-29 18:30,22-03-29 21:00,1
3,22-03-30 17:30,22-03-30 20:30,1
4,22-04-12 18:30,22-04-12 21:00,1
4,22-04-26 18:30,22-04-26 21:00,1
4,22-05-10 18:30,22-05-10 21:00,1
4,22-05-24 18:30,22-05-24 21:00,1
